Centroid X µm,Centroid Y µm,DAPI: Cell: Mean,CD34: Cell: Mean,CD31: Cell: Mean,CD4: Cell: Mean,CD8: Cell: Mean,CD21: Cell: Mean,CD68: Cell: Mean,CD38: Cell: Mean,HLA-DR: Cell: Mean,CD3e: Cell: Mean,CD79a: Cell: Mean,Ki67: Cell: Mean,Bcl-2: Cell: Mean,MPO: Cell: Mean,CD20: Cell: Mean
6997.2,2141.4,3550.8896,295.2677,25.378,2929.8582,271.3386,41.685,5075.5903,963.1102,702.2362,2624.4094,310.2835,60.4567,5569.3306,267.5118,1261.6614
7006.7,2145.5,3940.8953,618.7335,64.7455,2525.1946,262.982,25.5539,4358.5361,1285.2844,648.6078,2736.7126,356.9521,31.4012,4243.021,325.0539,1256.1348
7015.9,2146.5,2097.8601,281.14,33.54,1580.45,52.41,24.87,2804.77,610.22,399.79,1259.6,136.22,20.84,3418.1899,162.38,665.19
6990.9,2146.4,3399.8767,266.1357,24.0251,3124.8142,268.762,38.1712,3867.0647,839.5553,528.4217,2658.3945,255.3946,96.9415,4930.9897,220.7265,989.1879
6999.6,2151.1,5173.4927,483.449,26.9005,3031.4417,592.3859,43.7743,4548.1406,1496.1044,720.9684,3392.1335,494.4369,39.4417,6737.0605,345.3544,1487.7864
6973.8,2150.8,2152.5842,105.2584,15.9888,1538.0562,136.4944,10.7079,1303.5505,329.9663,262.3034,1252.2023,83.4944,43.9663,1741.7191,71.3146,516.7079
7021.1,2151.7,3123.1147,257.4699,34.765,3246.2651,206.6749,35.7951,3344.0874,943.7022,599.3279,2903.7815,269.8361,48.1339,4676.0547,254.0191,1149.7897
6937.2,2154.4,656.4783,35.7304,6.087,457.9652,4.9652,8.8435,410.887,120.0783,146.3217,311.713,52.7391,13.7217,1682.3826,33,531.1652
6978.9,2154.7,3488.6467,269.8822,29.1409,3279.4402,244.946,38.4093,3395.749,819.7394,522.4363,3256.4673,262.8533,119.444,4795.2104,222.0097,1167.666
7009.8,2155.6,3376.3948,367.7386,48.2756,2759.1477,370.6704,19.4205,3551.4802,1146.821,572.7131,2806.7329,340.1903,26.3892,5056.3208,284.7869,1196.1733
7001,2159.3,4467.9546,490.2203,23.2343,3060.2761,331.2587,17.1608,4378.7202,1535.4475,581.2972,3266.5979,454.535,30.5769,5249.8218,355.8986,1226.7693
6988.8,2160,5234.0913,490.9619,32.8003,3621.9084,393.2957,49.3293,5255.3843,1469.2469,773.0671,4226.0991,513.4207,85.2149,7460.0137,734.0381,1279.5823
7018.5,2161.8,2901.5559,481.3967,284.4917,2257.3611,103.4157,20.962,3313.0046,868.5297,399.7696,2479.3491,202.3017,36.0926,3795.4109,308.9525,591.7102
7010.5,2163.5,3528.0259,578.3815,283.0567,2243.1082,272.8969,8.5412,3287.6753,1156.9639,441.8866,2537.4226,338.9794,8.4691,3972.897,303.9536,1039.9794
6994.9,2164.6,5061.7354,489.1075,20.0496,2585.8677,444.1405,22.6446,3801.5703,1487.8182,694,3151.1653,523.2397,85.5785,6816.6113,315.8512,1287.7025
6973.5,2165.7,2747.3357,194.748,24.8612,3268.5796,289.6388,36.4852,4824.2964,770.5526,690.9164,3464.7021,254.2978,38.5687,5393.8154,218.1253,1266.946
