Centroid X µm,Centroid Y µm,DAPI: Cell: Mean,CD34: Cell: Mean,CD31: Cell: Mean,CD4: Cell: Mean,CD8: Cell: Mean,CD21: Cell: Mean,CD68: Cell: Mean,CD38: Cell: Mean,HLA-DR: Cell: Mean,CD3e: Cell: Mean,CD79a: Cell: Mean,Ki67: Cell: Mean,Bcl-2: Cell: Mean,MPO: Cell: Mean,CD20: Cell: Mean
3053,3336,969.5571,0.0286,0,99.6143,0,87.3286,1046.0571,0,362.7286,92.9143,0,27.8429,3102.1143,2.2286,1812.3572
3059.8,3337.5,1053.4518,7.146,0.0248,601.8981,24.1763,43.8512,2062.8982,60.135,426.3747,781.5372,55.0689,85.1846,2676.3472,48.8237,1128.2727
3070.1,3338.2,959.0271,0.1924,0.0054,272.8482,0.0461,41.8672,1839.0054,10.7859,417.2385,208.9404,33.7967,56.1924,2279.1274,53.477,1539.4038
3046.4,3338.3,1157.7803,0,0.011,231.6813,0,105.1758,927.9011,0,502.4725,289.2088,1.2198,58.2308,3139.9231,0.5165,2025.1978
3051.5,3342,1046.715,3.0483,0,631.3768,2.1449,75.6618,2655.2319,44.3913,566.1256,807.2947,96.4831,233.6328,2861.1692,59.8164,1423.5072
3042.3,3344,1375.8595,18.9324,0,647.4919,17.5649,39.9108,2433.0352,115.0351,418.2946,672.9919,138.0486,1755.6594,2458.1189,119.373,1118.4784
3065.3,3345.7,687.6545,0.0091,0,373.1,68.6864,29.1409,6563.6455,17.9955,452.4727,336.4591,3.3091,42.2682,1981.7909,363.6864,653.6863
3044.2,3351.4,761.335,0.5764,0.5172,308.3498,256.8965,15.1724,2387.394,22.2315,351.9261,362.4286,39.867,808.5024,1666.8621,40.4631,720.069
3051.3,3351.1,787.5476,1.0556,0.0794,304.8413,787.4643,17.6468,2382.8293,16.1944,336.6508,591.0317,27.5159,100.75,1328.2262,173.496,463.873
3030.7,3350.7,1015.2109,7.8163,0.0204,464.636,40.2823,47.881,2699.3298,71.3027,610.3231,400.8946,75.6769,223.0068,2349.2788,78.3673,1765.7551
3061.3,3353.8,458.7898,35.4886,28.9886,182.1193,31.4034,7.8239,2039.4091,0.1761,189.9034,195.1023,7.0795,15.3125,1629.4546,22.0341,253.0625
